,ERBB2_norm,ESR1_norm,PGR_norm,ERBB2_read_count,ESR1_read_count,PGR_read_count,CN_ERBB2,PAM50,scmgene,scmod1,intclust
SIDM00898,11.76325395,1.713080723,-5.908971096,104433.0,98.0,0.0,14.0,Her2,HER2+,HER2+,iC3
SIDM00893,7.2350669210000005,4.820881588,-4.567853277,5359.0,1005.0,1.0,2.0,Basal,ER+/HER2- High Prolif,ER+/HER2- High Prolif,iC4
SIDM00963,11.18361252,7.47164514,10.0022669,56040.0,4276.0,24710.0,14.0,LumA,HER2+,HER2+,iC5
SIDM00892,8.843409171000001,8.11265801,3.60252424,10115.0,6095.0,267.0,4.0,LumA,ER+/HER2- Low Prolif,ER+/HER2- High Prolif,iC8
SIDM00122,5.868515186000001,-2.942056449,-3.6790220430000002,1122.0,2.0,1.0,2.0,Basal,ER-/HER2-,ER-/HER2-,iC4
SIDM00940,6.058386811,2.715994614,-1.2009848,1455.0,143.0,9.0,3.0,Basal,ER+/HER2- High Prolif,ER-/HER2-,iC4
SIDM00938,8.61279118,-3.586574437,-4.323540031,11757.0,2.0,1.0,2.0,Her2,ER-/HER2-,ER+/HER2- High Prolif,iC8
SIDM00933,7.262086005,1.377972881,-3.35538146,3927.0,66.0,2.0,2.0,Basal,ER-/HER2-,ER-/HER2-,iC4
SIDM00928,7.198095147,3.4857075760000003,-3.1022574130000002,3152.0,240.0,2.0,3.0,Basal,ER+/HER2- High Prolif,ER-/HER2-,iC4
SIDM00920,7.351486352,7.684912624,7.21719306,4511.0,5684.0,4110.0,2.0,LumB,ER+/HER2- Low Prolif,ER+/HER2- High Prolif,iC6
SIDM00954,7.997325113,3.2028623260000004,-3.1453450939999996,19217.0,692.0,8.0,2.0,Basal,ER+/HER2- High Prolif,ER-/HER2-,iC10
SIDM01001,5.0310395969999995,-0.506129015,-5.791531234,905.0,19.0,0.0,4.0,LumB,ER-/HER2-,ER+/HER2- High Prolif,iC3
SIDM01002,11.79974098,5.955615997000001,0.90069121,86886.0,1512.0,45.0,14.0,Her2,HER2+,HER2+,iC5
SIDM01056,8.373111777,8.67319317,8.413823479,8909.0,10969.0,9164.0,4.0,LumA,ER+/HER2- High Prolif,ER+/HER2- High Prolif,iC3
SIDM01042,8.741010962999999,-4.26187938,7.731008392000001,28729.0,3.0,14265.0,3.0,LumA,ER-/HER2-,HER2+,iC7
SIDM00866,6.33175922,5.238714873999999,-3.4610310739999997,2217.0,1039.0,2.0,4.0,Basal,ER+/HER2- Low Prolif,ER-/HER2-,iC7
SIDM00885,7.716075827999999,3.14602897,-0.317041226,9429.5,396.5,35.5,2.0,Basal,ER+/HER2- Low Prolif,ER-/HER2-,iC3
SIDM00884,5.638068925,-1.88850555,-5.588945268,1198.0,6.0,0.0,2.0,Basal,ER-/HER2-,ER-/HER2-,iC4
SIDM00882,11.91843067,7.0447054289999995,-3.00689196,108902.0,3714.0,3.0,14.0,Her2,HER2+,HER2+,iC7
SIDM00881,6.591773793,9.013379929,8.010953917,2499.0,13391.0,6684.0,2.0,LumB,ER+/HER2- High Prolif,ER+/HER2- High Prolif,iC1
SIDM00879,6.803363651000001,9.607136131,7.691409052000001,3110.0,21719.0,5756.0,1.0,LumA,ER+/HER2- Low Prolif,ER+/HER2- High Prolif,iC6
SIDM00878,11.38001563,-1.308581809,-5.39604465,56113.0,8.0,0.0,13.0,Basal,HER2+,ER-/HER2-,iC9
SIDM00877,7.0707645470000005,4.456998885,-0.936811238,2959.0,483.0,11.0,4.0,Basal,ER+/HER2- Low Prolif,ER-/HER2-,iC9
SIDM00875,6.938940642,4.649689459,-5.354531007,5019.5,1026.5,0.5,2.0,Normal,ER+/HER2- High Prolif,ER-/HER2-,iC4
SIDM00874,6.91215388,5.017091788,-5.901026063,3598.0,967.0,0.0,4.0,Basal,ER+/HER2- High Prolif,ER-/HER2-,iC4
SIDM00872,11.92277166,4.779320287,-5.424027716,83344.0,589.0,0.0,14.0,Her2,HER2+,HER2+,iC5
SIDM00870,11.39404037,1.327365726,-2.536132274,70244.0,65.0,4.0,11.0,Her2,HER2+,HER2+,iC1
SIDM00774,7.887635672,-2.65442887,-4.239391371,6709.0,4.0,1.0,3.0,Basal,ER-/HER2-,ER-/HER2-,iC9
SIDM00772,11.47382369,1.285555059,-3.026031091,81088.0,69.0,3.0,14.0,LumA,HER2+,HER2+,iC1
SIDM00675,7.815099256,-1.9103171280000002,3.539438432,7195.0,8.0,371.0,2.0,Basal,ER-/HER2-,ER-/HER2-,iC4
SIDM00673,6.646906714,3.976773016,-2.213051543,2555.0,401.0,5.0,3.0,Basal,ER+/HER2- Low Prolif,ER-/HER2-,iC3
SIDM01062,7.233592937,4.583593679,-4.002620618,3618.0,576.0,1.0,4.0,Normal,ER+/HER2- Low Prolif,ER-/HER2-,iC4
SIDM00135,5.855552236,-1.007890699,-5.651746888,1455.0,12.0,0.0,2.0,Basal,ER-/HER2-,ER-/HER2-,iC4
SIDM01037,9.269768828,4.5271333910000005,-5.658980848,15594.0,582.0,0.0,12.0,Basal,ER+/HER2- High Prolif,ER-/HER2-,iC4
SIDM00148,6.9529005239999995,8.721232309,6.657909516,3455.0,11771.0,2816.0,2.0,LumA,ER+/HER2- High Prolif,ER+/HER2- High Prolif,iC1
SIDM00529,5.974542287,0.340336267,1.489199653,1713.0,34.0,76.0,2.0,Basal,ER-/HER2-,ER-/HER2-,iC1
SIDM00633,8.510056268,6.697610579,-1.9939987419999998,9439.0,2687.0,6.0,3.0,LumA,ER+/HER2- Low Prolif,ER+/HER2- Low Prolif,iC2
SIDM00146,6.169960968,-0.133007909,-3.30293291,1776.0,22.0,2.0,3.0,Basal,ER-/HER2-,ER-/HER2-,iC4
SIDM00631,10.90683796,8.544050771,4.304414011,171357.0,33314.0,1763.0,15.0,LumA,ER+/HER2- High Prolif,HER2+,iC6
SIDM00528,10.15221354,8.188633455,6.184494735,31995.5,8203.0,2044.5,9.0,LumA,ER+/HER2- High Prolif,HER2+,iC7
SIDM00630,7.495026955,6.497342306,3.755123238,4669.0,2338.0,349.0,2.0,LumA,ER+/HER2- Low Prolif,HER2+,iC3
SIDM00629,5.479327329,-1.155089165,-1.9782114030000002,1142.0,11.0,6.0,2.0,Basal,ER-/HER2-,ER-/HER2-,iC3
SIDM00272,9.154924348,-3.889071245,-1.226106232,12668.0,1.0,9.0,8.0,Her2,ER-/HER2-,ER+/HER2- High Prolif,iC8
SIDM00628,6.199366202999999,3.7539235719999997,-3.729892205,1462.0,268.0,1.0,2.0,Basal,ER+/HER2- High Prolif,ER-/HER2-,iC3
SIDM00332,7.13773181,2.094974113,-1.156070496,11454.0,347.0,36.0,2.0,LumB,ER+/HER2- Low Prolif,ER+/HER2- High Prolif,iC8
SIDM00562,7.092261522,-7.253905901,-7.253905901,10413.0,0.0,0.0,3.0,Basal,ER-/HER2-,ER+/HER2- High Prolif,iC10
SIDM00241,10.32360289,-0.05304832,1.079559175,107023.0,80.0,176.0,12.0,Her2,HER2+,HER2+,iC1
SIDM00097,7.606168932999999,8.732122712,10.62439124,5187.0,11321.0,42027.0,4.0,LumB,ER+/HER2- High Prolif,ER+/HER2- High Prolif,iC8
SIDM01187,11.52053885,6.095250781,5.62787779,81214.5,1889.5,1366.5,12.0,LumA,HER2+,HER2+,iC3
SIDM01186,12.095868699999999,4.79878353,-4.037266825,107807.0,685.0,1.0,14.0,Her2,HER2+,HER2+,iC5
SIDM00971,11.56625344,7.492797546,1.905582593,113312.5,6730.0,139.5,14.0,LumA,HER2+,ER+/HER2- High Prolif,iC8
